lambda,N_peak,fwhm,unimodal_ratio,interior,sharp,centered,unimodal,converged,valid
0.1,6.486,4.004,92.372,True,True,False,True,False,False
0.3,8.072,4.449,29.001,True,True,True,True,False,False
1.0,10.048,2.417,279913713475795666757708939264.000,True,True,True,True,True,True
3.0,9.816,2.422,79776780649059224707223519232.000,True,True,True,True,True,True
10.0,10.000,2.000,3895694424801064094141513728.000,True,True,True,True,True,True
