model,E,regime,N_star,N,ais_lag1,ais_lag2,ais_lag3,h_target,normalized,adequacy
pairwise,3.624e+04,rise,14.48857260653879,6,nan,nan,nan,nan,nan,9600.0
pairwise,3.624e+04,rise,14.48857260653879,7,nan,nan,nan,nan,nan,11200.0
pairwise,3.624e+04,rise,14.48857260653879,8,nan,nan,nan,nan,nan,12800.0
pairwise,3.624e+04,rise,14.48857260653879,9,nan,nan,nan,nan,nan,14400.0
pairwise,3.624e+04,rise,14.48857260653879,10,nan,nan,nan,nan,nan,16000.0
pairwise,3.624e+04,rise,14.48857260653879,11,nan,nan,nan,nan,nan,17600.0
pairwise,3.624e+04,rise,14.48857260653879,12,nan,nan,nan,nan,nan,19200.0
pairwise,3.624e+04,rise,14.48857260653879,13,nan,nan,nan,nan,nan,20800.0
pairwise,3.624e+04,rise,14.48857260653879,14,nan,0.027780809657919486,0.028054438967950266,nan,nan,4480.0
pairwise,3.624e+04,rise,14.48857260653879,15,nan,nan,nan,nan,nan,24000.0
pairwise,3.624e+04,rise,14.48857260653879,16,nan,nan,nan,nan,nan,25600.0
pairwise,3.624e+04,rise,14.48857260653879,17,nan,nan,nan,nan,nan,27200.0
pairwise,3.624e+04,rise,14.48857260653879,18,nan,nan,nan,nan,nan,28800.0
pairwise,3.624e+04,rise,14.48857260653879,19,nan,nan,nan,nan,nan,30400.0
pairwise,3.624e+04,rise,14.48857260653879,20,nan,nan,nan,nan,nan,32000.0
pairwise,3.624e+04,rise,14.48857260653879,21,nan,nan,nan,nan,nan,33600.0
pairwise,3.624e+04,rise,14.48857260653879,22,nan,nan,nan,nan,nan,35200.0
pairwise,3.624e+04,rise,14.48857260653879,23,nan,nan,nan,nan,nan,36800.0
pairwise,3.624e+04,rise,14.48857260653879,24,nan,nan,nan,nan,nan,38400.0
